Row Labels,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct
DPBCG01,546.9,557.16,599.98,609.22,638.55,592.56,563.27,690.88,621.14,647.48,613.08,640.95,613.04,620.09,578.37,598.8,556.33,636.46,631.23,678.76,618.48,639.79,655.69,693.62,661.12,679.83,667.95,654.56,662.3,631.94,772.09,681.17,691.38,707.85,673.58,667.41,710.67,673.34,722.23,697.78,758.91,642.89,685.74,659.63,663.53,675.18,630.63,647.15,632.04,603.85,601.96,639.88,668.33,671.29,754.85,710.76,720.94,740.11,732.71,728.18,719.75,723.7,660.15,737.3,772.73,720.34,606.1,639.36,684.51,668.22,711.88,683.95,681.55,691.84,650.18,689.24,673.06,685.8,688.67,624.51,649.5,641.79,650.63,726.19,656.75,693.72,733.84,702.23,667.24,674.3,726.57,687.51,666.01,692.81,732.24,682.44,697.5,651.55,679.24,705.62,660.11,661.11,617.29,640.04,599.89,617.04,617.88,592.05,575.24,552.9,590.8,594.02,624,585.6,595.06,628.86,598.48,594.36,567.66,684.35,653.75,597.79,592.11,585.28,578,564.45,600.43,543.43,582.92,572.71,552.27,588.98,541.25,554.3,571.34,349.31
DPBCG02,129.89,98.71,128.9,130.68,140.3,119.59,113.2,151.95,145.75,144.94,144.65,130.21,128.47,128.85,140.86,123.02,130.26,131.05,151.56,141.93,123.83,87.31,132.3,145.75,126.52,143.6,151.66,152.05,153.4,158.93,166.21,163.4,147.24,161.05,156.05,163.97,160.24,145.5,160.67,151.9,168.77,161.35,153.54,149.13,158.48,162.97,169.85,167.07,165.35,175.17,165.51,163.64,165.45,179.52,190.21,183.02,187.17,180.91,195.53,187.2,188.05,194.95,179.79,187.91,192.14,187.78,178.25,175.36,175.15,189.92,188.23,194.93,167.23,198.87,180.47,171.21,165.62,163.06,169.51,154.2,155.69,159.8,157,143.74,167.53,164.18,173.79,170.37,162.27,176.23,167.49,170.83,152.52,155.36,166.46,150.89,161.45,162.72,160.62,158.4,166.06,189.41,154.4,172.77,163.21,169.93,167.41,157.05,163.35,154.45,155.64,164.05,156.01,146.35,151.07,170.37,153.02,138.9,148.32,156.29,159.79,152.5,149.46,138.14,146.9,171.23,205.25,187.67,205.19,196.41,168.06,194.05,196.26,201.84,214.39,122.56
DPBCG04,121.25,128.94,138.46,143.92,136.33,140.96,134.64,144.22,154.16,138.54,129.46,140.67,140.91,141.08,121.15,125.67,126.53,143.32,145.12,140.6,134.08,140.01,129.99,144.41,139.3,134.71,141.82,150.25,148.18,157.3,149.59,150.24,152.31,158.58,164.75,148.64,154.43,157.85,159.5,158.78,150.9,147.24,147.03,163.99,156.56,154.6,151.56,158.95,153.23,159.61,175.42,165.04,166.26,165.18,160.61,163.67,165.77,166.21,171.2,173.52,169.19,166.46,158.3,170.84,173.84,170.32,155.69,159.31,159.28,156.08,159.43,158.44,148.98,160.1,153.79,159.56,153.63,155.17,151.31,155.09,152.56,156.77,161.11,156.7,149.6,164.45,164.63,162.39,170.19,152.08,171.79,173.49,169.9,150.35,158.08,166.49,162.87,167.83,151.68,166.24,171.35,176.78,161.58,155.2,152.02,159.28,154.23,149.8,150.62,128.53,146.35,141.58,145.47,144.14,145.59,141.47,139.25,134.97,134.44,134.37,150.68,136.07,137.43,146.98,151.49,149.02,150.13,109.48,143.91,71.77,115.11,225.52,223.52,195.18,209.4,121.75
DPBCG06,61.41,79.19,80.5,88.97,83.84,81.35,85.24,113.08,99.48,85.59,96.09,100.42,97.84,82.02,83.89,80.38,89.06,92.46,96.03,91.02,88.61,98.86,90.02,91.55,86.52,96.46,89.19,84.4,89.5,93.19,100.12,99.52,101.6,102.49,99.78,96.2,106.75,97.21,102.04,102.74,112.87,126.35,115.42,105.07,111.16,105.59,108.43,109.63,103.39,115.46,105.65,114.45,106.76,105.82,116.8,116.57,118.27,122.36,111.2,114.07,115.04,113.29,110.24,113.27,131.22,126.92,104.75,109.22,109.48,111.28,117.83,113.08,109.77,123.21,113.31,113.21,116.6,112.47,110.51,116.8,108.61,109.16,112.4,116.68,102.18,106.22,115.66,133.65,117.31,108.26,131.07,123.92,119.07,109.92,116.23,117.71,119.02,124.43,122.42,117.94,116.98,141.28,126.17,133.97,128.19,136.12,125.46,125,123.89,111.79,113.27,103.12,103.49,111.74,118.32,117.6,113.82,103.96,116.39,126.54,133.89,102.07,139.06,140.82,126.14,147.05,135.5,125.9,133.04,145.92,156.8,145.07,176.45,166.8,171.32,108.29
DPBCG07,94.9,96.63,99.77,102.34,96.9,105.21,103.15,127.82,110.35,99.47,113.29,105.45,104.09,109.01,99.02,106.97,98.67,113.54,118.74,111.99,100.19,100.18,110.54,103.94,105.5,105.4,110.72,112.72,117.08,107.86,122.56,118.21,122.79,120.43,108.81,106.52,114.07,109.84,118.92,120.93,131.49,117.63,115.02,117.38,119.53,115.21,121.58,120.42,112.12,115.68,122.98,121.93,125.99,129.27,122.6,125.4,122.52,124.08,126.25,130.23,130.4,135.71,110.39,125.76,138.41,130.52,122.83,118.33,120.69,119.12,128.41,114.21,126.81,122.14,121.67,125.62,121.09,119.93,129.24,118.54,121.58,116.57,121.66,126,117.07,120.96,119.78,128.85,114.61,103.36,115.55,117.36,113.87,103.84,125.44,102.51,111.18,106.95,115.28,116.56,124.51,127.71,112.15,116.11,116.19,120,125.17,121.24,132.53,121.13,115.87,119.53,124.13,123.44,115.71,131.33,124.69,116.47,109.25,122.08,119,116.82,116.23,118.86,191.29,223.88,253.58,233.14,231.05,203.82,216.97,168.35,233.91,233.09,241.32,143.86
DPBCG08,143,145.14,144.79,159.56,157.38,141.13,143.47,165.41,152.43,157.75,146.11,147.78,158.01,146.68,137.53,154.93,151.81,155.05,149.7,158.28,146.16,153.86,166.12,166.13,162.98,166.25,164.25,166.58,163.09,168.81,166.81,167.03,160.27,160.18,162.32,164.52,160.48,159.68,168.99,173.35,168.98,179.69,167.5,166.94,162.84,168.76,169.02,164.95,171.11,178.05,163,182.49,170.31,172.51,176.63,180.9,177.45,182.68,178.53,185.85,169.31,168.01,168.66,177.97,191.39,185.81,170.28,165.97,179.39,176.48,178.75,178.84,181.99,180.82,170.98,160.22,163.78,172.57,167.83,170.64,164.97,165.94,170.13,169.74,159.8,165.89,168.83,181.1,168.58,159.14,179.83,176.47,165.31,165.67,175.76,180.03,173.08,148.1,166.56,163.2,159.08,167.63,161.49,152.44,162.95,163.51,161.36,168.69,165.13,152.22,156.62,165.66,157.19,150.56,159.56,161.62,151.44,151.24,153.58,169.82,170.42,159.6,178.63,169.05,177.47,165.08,102.93,141.09,241.81,219.81,238.51,249.51,248.62,242.19,266.27,162.98
DPBCG09,56.67,56.4,63.09,66.36,52.73,67.42,61.19,81.83,76.24,58.74,82.52,91.13,82.54,77.68,75.21,77.75,79.85,89.12,85.94,99.24,85.97,87.24,84.44,82.68,100.41,101.47,85.76,77.45,91.41,90.67,107.38,109.02,90.14,89.91,88.41,89.44,86.89,90.77,77.45,75.38,92.07,97.24,86.54,94.63,99.26,99.91,98.86,102.13,104.64,118.8,117.89,129.76,128.58,128.98,133.29,130.55,131.17,139.14,139.89,131.23,122.84,136.58,115.54,129.84,135.76,131.19,131.6,119.76,122.22,112.12,122.92,118.07,127.4,139.8,112.78,126.72,121.85,123.6,112.71,129.71,117.96,118.4,118.48,112.63,110.69,118.74,127.05,125.15,122.51,113.35,135.46,120.39,124.72,115.84,123.83,119.58,118.44,123.84,138.36,135.61,135.66,134.81,125.51,130.79,119.57,100.22,113.21,109.47,111.21,102.66,120.71,110.74,108.1,99.93,98.51,99.37,93.65,96.17,104.14,114.28,105.63,105.18,102.89,99.18,95.89,95.78,108.34,112.23,100.54,110.78,111.22,104.52,100.02,98.29,106.75,61.13
DPBRG01,132.8,109.24,141.48,141.92,130.87,125.38,121.16,150.43,152.68,136.57,141.43,143.29,140.2,147.12,144.89,121.03,138.19,144.45,146.87,148.99,127.92,90.44,143.08,155.22,152.54,144.98,147.69,147.14,159.41,147.89,151.63,150.31,150.92,145.02,154.05,154.04,158.61,152.45,149.47,154.97,160.95,160.92,154.53,137.82,149.93,153.13,147.66,146.7,153.51,156.36,163.49,157.72,167.48,165.54,165.62,165.72,157.48,165.48,157.77,166.15,154.2,160.31,159.4,159.92,175.94,172.35,157.84,163.32,160.85,165.95,163.48,154.59,156.93,152.08,161.76,159.86,157.19,155.96,158.54,160.8,154.99,151.49,156.86,154.95,146.1,148.64,161.5,165.49,152.44,168.35,168.42,150.81,146.61,151.03,161.57,154.46,152.82,150.66,155.39,163.53,152.36,156.09,146.81,148.4,146.69,147.79,162.69,145.65,151.18,162.28,148.79,146,157.64,154.45,144.8,160.43,158.5,180.55,184.44,188.65,167.96,178.85,195.94,175.31,195.94,169.65,184.4,177.97,186.51,185.87,171.13,198.33,207.69,201.68,205.01,112.66
DPBRG02,148.16,127.48,172.17,176.57,172.59,176.87,178.42,183.36,182.99,181.48,194.2,186.94,180.93,169.75,158.95,180.49,179.36,181.64,177.6,181.81,179.75,149.12,172.75,169.66,189.7,174.88,185.13,183.43,168.75,172.48,166.32,167.21,170.62,165.96,192.01,164.75,185.22,163.92,161.22,161.61,194.09,173.98,172.02,122.49,178.65,171.45,155.95,177.29,181.68,186.23,188.93,168.72,148.22,164.37,169.37,163.51,172.2,159.57,156.99,159.08,151.4,155.79,143.21,144.86,144.65,168.52,158.18,157.36,173.77,161.59,168.77,177.66,162.15,166.73,176.95,172.73,163.68,164.54,145.97,165.24,161.1,167.32,165.98,158.71,160.11,164.63,167.43,170.07,176.44,173.24,204.11,201.41,162.65,171.69,167.88,166.78,189.4,169.41,165.57,161.66,163.71,172.42,148.92,167.21,209.89,208.65,229.94,227.85,210.06,204.91,205.1,209.64,204.93,207.43,221.25,241.58,227.89,221.89,191.23,192.74,202.43,204.35,192.91,209.8,205.95,183.58,185.57,189.96,83.19,214.8,218.14,244.1,250.42,256.92,276.06,158.09
DPBRG03,162.64,149.43,161.85,159.45,157.08,144.21,138.04,173.69,167.6,165.29,159.27,154.43,153.44,156.14,168.82,155.16,169.45,163.46,162.8,163.52,157.22,172.9,174,171.16,171.12,164.61,163.57,151.77,169.59,169.16,165.78,155.74,168.91,168.11,159.75,167.85,162.07,160.61,162.83,170.39,183.13,170.72,169.96,166.29,169.18,169.11,173.61,174.25,168.68,169.52,178.6,178.29,179.68,168.64,177.07,180.84,178.91,179.19,185.23,184.24,181.2,177.11,174.69,170.68,186.36,184.55,172.24,181.79,173.41,173.73,175.63,173.73,181.59,173.63,163.04,168.36,173.84,179.5,171.09,167.99,166.7,169.84,170.93,169.31,169.7,166.07,174.88,174.59,38.97,21.58,28.66,23.59,130.35,163.72,169.28,163.25,162.76,164.83,160.21,161.6,177.91,169.13,159.47,177.26,169.49,167.51,169.41,164.86,158.05,181.55,158.79,171.74,172.81,172.04,193.54,176.66,153.77,138.39,146.42,261.33,180.11,136.74,203.84,215.68,241.83,233.36,216.31,212.41,233.74,235.37,249.79,266.89,277.28,279.85,273.64,166.22
