eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
RPSDR10,-42.026492579778036,-1.2768649832906367,54.061688267866764,59.7103123245602,15.176196490929788
NPSDP02,-3.508428796927141,-0.0023783663064000926,36.19141783301037,58.024374722562236,7.718784814920792
GBGBD08,45.1618098953863,-1.7653840258426103,46.6306552203993,56.84382548484076,14.871208237153343
RPSDR93,-6.939204280376417,-0.07907575984108961,15.248074347019186,22.907076574511695,6.882630730301736
KGULP01,54.32518297704062,-3.1030462772729344,56.50625118923189,64.30974327175713,20.15196542578413
RPSDR08,13.922871514777308,-0.14928395653376914,21.791786862711113,48.98756069118033,5.3716989937122035
NPSDP16,-6.0462923660079655,-0.3017417649882974,12.38544101848205,15.7428398594537,8.888345162795229
NPSDP05,-1.5530086407661494,-0.003452914114161043,17.232558449268343,25.767243728348596,6.15308969405809
RPSDR65,-1.4062045349280141,-0.019508588887859002,26.142526112357775,44.8136220188641,5.644982762409394
PGTTL03,-7.9172241369088585,-0.03903421014908415,22.988288688699406,35.68381367556249,6.5822029911941735
NPSDR03,49.19495308085281,-0.6425664602573802,59.93947795450687,79.18478523682326,13.61416126254637
GBGBD24,3.83422640617686,0.021571066637247394,14.72436854203542,22.364650781795085,5.9452909084846794
TGSDR09,19.680432091931483,-0.3630332012887554,27.615916605929524,36.9402309081291,11.221569373046178
GBPLS12,-30.133064122676856,-1.8707202488311196,34.67567779111862,37.659838359408816,13.781296300746998
RPBDG03,165.4364019736449,-11.772290707873063,165.4364019736449,173.63458336099316,31.427041305912457
GBSND22,5.115646910508482,-0.15034454507682504,8.855118117491406,14.63914313852899,7.896383290924557
RPSDR77,-23.75267310579618,-2.746204258441143,26.14192170151075,27.399468552507713,16.989399935244123
RPSDR75,-49.217008300781295,-1.1689210640704992,60.320688069661486,69.22825675434535,11.35601595208179
RPSDR01,-2.726740937908491,-0.44270704051263254,29.521462724486973,38.72848391113449,9.552522203138574
PGTTL01,11.369963569203994,-0.2785107777748499,18.46553394142786,29.51305309903386,6.733591798946797
RPSDR14,-2.2822069681882717,-0.059027190088140724,16.608561616460474,25.35489282035499,5.609162045683639
DPSDR10,-15.659708265205222,-0.3461145737025113,23.6158453442057,29.65229726705653,14.151196834946264
TGRSN01,3.610832228332737,-0.2193820914911051,22.904154483248785,42.61374379910717,5.399450814669929
DPBRL03,-15.477456370770927,-1.0463021720392818,19.216810050308702,22.73710087652019,13.027764377475796
RPPGN16,-0.21244446818032353,-0.04862386302620614,22.250202439467106,31.0269893803435,8.909958070803787
RPSDR39,-68.77114898467063,-3.8084273606731314,72.64847244437536,77.29375741188197,18.056956873842996
NPSDP03,-3.615473138054223,-0.04949315116816844,10.455277454098074,16.302648644552075,7.960170581682216
KGULP02,-41.93308020718891,-2.008467127850966,47.592086431900654,53.09511826101553,15.94896519187298
RPSDR60,52.318692788382364,-4.153511166470923,56.86008217110237,66.79901600334024,17.01534078919888
KGFLB01,-12.752535774668077,-0.214163559726267,24.632564965128903,32.52441387129587,8.608792916583317
DPFLB01,25.026490189313908,-0.1882006929139044,34.89821100211144,60.20427342052719,8.56428717308829
PGATR07,2.173222572962437,-0.5296995208800852,11.465822193781538,19.594227847750318,10.432963736377124
LMADT01,-20.179462295055366,-0.18338014471357988,46.66353897571562,61.84986448629288,8.224284329399795
RPTRG07,-33.19623566448688,-1.6602361301086872,33.53572695497671,42.113466279488584,18.09668206225504
RPTRG04,-33.53438339995343,-1.667385252419468,36.78298390319942,41.78682816366348,13.641024374216784
KGULP08,-51.10279811708134,-1.370104561881757,65.4920013399919,69.73720723159116,19.46757156706406
GBGBD21,-9.653981136957809,-0.6036951152329535,14.084892958005272,17.215043683779836,10.051752213927251
RPPGN06,-36.422823873202,-1.6384132721778841,38.947369095484405,48.26692280766547,13.58195124526094
GBPLS06,-1.1912355757156898,0.0024918531779997144,7.607947714209554,15.117511344894927,7.901271552890374
GBSND14,-14.085895093013853,-0.964871209754764,17.735843061735242,20.441843243136926,12.258979303925992
PGSDR21,5.496661621729516,-0.05184609923595418,16.452136217117303,22.652923277792304,6.830978617889313
KGRJR07,47.50423953016598,-3.029985492277766,48.1047997868061,54.40282226722929,15.034541836647383
DPBRG15,-13.901742437521603,-0.12751083354132842,26.65115828196208,32.025892115311706,16.869015622996343
DPKHN06,-4.247602181355145,-0.3089362537215339,6.719759493827812,10.105960508848549,4.249116077289368
KGNGS02,-15.083634759972487,-1.311683799029188,25.20358798556526,29.61591117083823,11.07274365133361
PGSDR01,-7.449521915197393,-0.07268491643940633,25.757775124708825,47.7447685551393,5.448997368063849
GBSDR16,67.44785400062803,-1.4408578648515595,67.44785400062803,88.00632612677342,16.16280115157083
GBPLS05,-58.21075814027588,-6.173976699113347,59.09269396045806,62.000783907303386,22.188159837610748
TGSDR01,20.92387376046182,-0.09988756685333833,28.289125493526466,43.19940002863545,10.209532373137215
KGCLM05,-80.09218292298915,-5.35018626155377,83.05986952774724,87.52367948396791,24.578451936192533
TGRSN02,45.09753416580954,-1.872608653684508,45.22605550554395,55.49691314662617,15.14732553125277
RPSDR38,57.0395728039145,-0.5919214633038348,59.754762098928246,89.73057342308009,15.207740650468777
DPSDR04,-84.98468381122743,-1.70910528255498,102.62545148988563,108.02004667478673,17.5870851165011
DPKHR01,-27.103820917805017,-0.4516482684684282,38.66250118446348,51.0998546325419,10.896628943210912
PGSDR06,-12.83209000227849,-0.8111780378494615,17.19723470018308,20.80427855958289,13.000773255920775
NPSDR09,-1.4918439286947252,0.3164267366736505,14.38724104209741,16.70061238609625,10.2738775736322
LMPTG01,6.0954552054206825,0.021964971183269122,26.0533988567392,53.304356074228814,5.363839407311501
RPPGN02,-12.2583763139745,-0.027660085038470728,29.272929020692928,45.05813948529268,6.368030058318857
RPMTH02,-77.20983363137638,-1.3330312128259885,89.67225166008866,101.67294428229901,14.571676926185932
RPSDR30,-11.223737338781376,-0.19163432187700202,29.998043640216192,36.04880559160139,9.674891300537961
