eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
RPSDR10,[25.41540477],-0.6356931508072667,29.901163995737896,50.6094504424164,9.995020873877818
NPSDP02,[41.76561558],-0.4983412769207318,44.36691154852654,70.94143980929984,9.776882002213062
GBGBD08,[33.36215893],-0.9821431779328276,37.25751719439445,48.125259418230286,11.967825074830053
RPSDR93,[9.67599416],-0.2697259174763089,13.636654971916675,24.848414985194164,6.7054646763729036
KGULP01,[17.98213213],-0.37644057380006224,27.871075701964273,37.247943614065235,10.238895603485037
RPSDR08,[-4.66880335],-0.044615934356202036,26.11701210711582,46.703611555619354,5.932073905539563
NPSDP16,[1.78157979],-0.05239344855581307,10.45344084697961,14.154995190663248,7.891485915045947
NPSDP05,[79.60774852],-10.078702733243022,79.60774851617727,85.61777174207809,28.786348289452956
RPSDR65,[-44.01215776],-1.0884102056059004,54.40078869177363,64.13904744668083,10.485384415507216
PGTTL03,[-2.11444825],0.03924797798970536,20.919283833452628,34.313260956414275,6.092153434584418
NPSDR03,[79.30408306],-1.7089203495651883,82.08739546470181,101.69003238963688,18.42071635945652
GBGBD24,[43.44049868],-4.801844436257275,45.24896081138233,54.46036124033149,17.920677110428784
TGSDR09,[78.06664404],-7.048267538993169,79.15201064074908,89.76304794556206,31.040459184455454
GBPLS12,[3.39418176],-0.17804143468566558,14.614264021190165,24.124776483922222,6.589540169810245
RPBDG03,[-13.8219055],-0.18630229472638327,33.518477722677595,52.9175242009752,6.69193130010282
GBSND22,[5.97026511],-0.18476127401342657,9.067929607593737,14.856520740209723,8.063228729873444
RPSDR77,[-16.61533374],-1.4003277368695883,19.974942683922336,21.932174085777593,13.198273054553217
RPSDR75,[-37.12700068],-0.5928214149721389,49.57151534162207,59.32599973084577,9.558894110702992
RPSDR01,[34.50059312],-1.2380318737787865,35.64712171853354,48.23636294591532,12.061645122279726
PGTTL01,[27.94619316],-1.1639827733182528,30.076516009884912,38.39625277084432,10.656855005030666
RPSDR14,[-12.36183302],-0.09741233056342136,19.78648257884639,25.81030529406877,6.43782276176504
DPSDR10,[-19.50075381],-0.6293539550049216,25.1109670894662,32.62308681190234,14.75978888507717
TGRSN01,[-0.29900893],0.08566009386854623,22.357162007558312,36.90061647514165,5.1248913575471615
DPBRL03,[-22.22307984],-2.005383790506278,24.585915346784343,27.55498480324645,16.37608527242307
RPPGN16,[93.51471101],-10.13822488443077,93.51471101082784,101.12016273955193,37.62624130159178
RPSDR39,[-72.33857331],-4.144417851115018,76.03353049264052,79.94862671224419,18.93031871003815
NPSDP03,[-14.17796531],-0.8262706617179847,18.411960159883222,21.50556889133821,12.666586062737684
KGULP02,[78.39220189],-8.096365067237837,78.39220188997541,92.32427332636082,28.73136213214004
RPSDR60,[-26.89745741],-0.6704894380947934,30.97054518281731,38.031225611360874,8.649426723564355
KGFLB01,[50.9240146],-3.408905280607443,51.79531813919596,61.97781566074,18.886416410400304
DPFLB01,[27.5466287],-0.24787515489023915,37.24974386558257,61.6975598307605,9.065516161985187
PGATR07,[0.60252341],0.05810026900082843,9.57754493252577,15.37543547176784,8.52533864237697
LMADT01,[32.89716514],-0.24170031113825385,43.68832765412173,63.35560001347341,8.344631777651216
RPTRG07,[-21.92654217],-0.7634213284278062,24.719946057630086,34.28774625174683,12.979031973087093
RPTRG04,[74.33191463],-9.624062505006016,74.33191462999588,83.39535138585269,30.001817309779323
KGULP08,[-7.26324207],-0.008595893400112242,30.136159285925704,45.49245727287283,10.3645346045673
GBGBD21,[-10.58425662],-0.6779561479577707,14.53091337158517,17.609114980932855,10.334321897915261
RPPGN06,[58.1740524],-3.7650888075507245,58.17405239742899,64.8654895144759,22.631751774502682
GBPLS06,[-5.09907297],-0.0737584569589611,10.107461525522945,15.684669656468754,9.459643117264733
GBSND14,[9.09444026],-0.44988021861291383,9.551693543379729,17.559780033405094,7.853311308107052
PGSDR21,[-4.95135388],-0.05655259752975339,16.2099883700588,22.70354710352333,6.4596459487691025
KGRJR07,[9.83139171],-0.09593693925466118,22.153403826777655,28.370204844742965,6.900983303856259
DPBRG15,[-17.33731177],-0.3759584246241363,29.233487664536952,35.37883521383709,18.155566853048033
DPKHN06,[13.13774831],-2.768891016405407,14.481340439551104,17.14846052996457,9.808774048495248
KGNGS02,[46.7358589],-5.767570687678798,46.735858895848324,50.67307792201178,21.74097274324163
PGSDR01,[9.88520208],-0.05518332604946763,19.488136479023282,47.3536724156112,4.464144616814198
GBSDR16,[10.72127623],-0.0007226087292060424,28.27203886111519,56.35072423540581,7.576511407431598
GBPLS05,[19.10446834],-0.5896822462737263,22.834385603746615,29.185851046409287,9.317722857062813
TGSDR01,[53.78446692],-2.0683222358661846,53.78446691815106,72.15294342013026,18.611516452871193
KGCLM05,[-36.10254131],-1.265868402203473,44.2238470489855,52.281697097096114,13.172868417888406
TGRSN02,[-14.72840825],-0.4477417596141202,31.34039238211112,39.39817872964969,9.781633814304785
RPSDR38,[55.19008532],-0.6859713825102534,55.44925604029718,92.3431581385879,14.695474440076065
DPSDR04,[-59.32882141],-0.8297090452736997,81.67634153361625,88.77331475924363,14.34586498982381
DPKHR01,[-7.25422166],-0.008774859729949513,27.982185079275503,42.59769401819742,8.493833929108304
PGSDR06,[-17.9497752],-1.2712682449842427,21.270785240688586,23.297338132041073,15.486533556022938
NPSDR09,[-18.80458573],-1.0604916500563322,24.48233038581964,28.995145467984546,16.036263166977317
LMPTG01,[8.01463274],-0.10409033040618221,29.32518782416285,56.63537751976691,5.945720979344105
RPPGN02,[-59.66901231],-2.0506303468471114,66.67641044387473,77.63245208389489,13.358406293873795
RPMTH02,[-54.32095629],-0.7152504426225199,71.50918293138912,87.17840032171075,11.813497640967793
RPSDR30,[55.87107868],-2.6876902285873303,55.871078679322665,63.41567132922603,19.306486629479096
