eNodeB,Group,Distance
DPBCG01,2,1356.1270970525093
DPBCG02,1,329.3935828822949
DPBCG04,1,273.2025972569639
DPBCG06,1,311.2186233043953
DPBCG07,1,309.76836579604543
DPBCG08,1,421.02623399949493
DPBCG09,1,404.1706543277437
DPBRG01,1,253.6060361549517
DPBRG02,1,568.7274029308098
DPBRG03,1,554.4637637765707
DPBRG04,3,581.5205190238253
DPBRG06,0,423.47133313199066
DPBRG09,0,444.4225024778645
DPBRG11,1,291.95886948589714
DPBRG13,1,289.11253093635173
DPBRG14,1,234.64049264594078
DPBRG15,1,155.2430479075956
DPBRG16,2,884.6439867950264
DPBRG18,1,437.37214512840916
DPBRL02,1,605.1326886787409
DPBRL03,1,116.31047237303565
DPBRL05,0,462.66170947540775
DPBRL06,1,184.67443048195636
DPBRL07,0,433.938204080364
DPBRL11,1,446.46643913055
DPBRM01,2,566.5338599266785
DPBRM05,0,603.5650021014322
DPBRM06,1,190.12464436833636
DPBRM07,1,356.58212406025655
DPCRB02,2,1071.3006658252564
DPCRB03,0,548.3896705999579
DPCRB04,0,663.7024799119074
DPCRB05,1,520.0630536636788
DPCRB06,0,599.6108725436301
DPCRB07,0,476.05570607417775
DPCRB09,1,133.77035349518198
DPCRB10,0,743.2952966977645
DPCRB11,1,474.5153213081632
DPCRB12,1,496.257387145208
DPCRB13,0,492.0532350034432
DPCRB15,1,287.4046211025275
DPCRB16,0,624.4116454231205
DPCRB17,3,1013.6258534939107
DPCRB18,0,255.5834643933904
DPCRB19,1,426.5695857682114
DPCRB22,0,737.8207004980198
DPCRB23,1,307.44050883489246
DPFLB01,2,421.31794249028536
DPFLB02,3,511.38501347142136
DPFLB03,1,173.97219404968962
DPFLB04,1,435.40810153562023
DPFLB05,1,183.00510020994835
DPFLB10,1,319.34612490321393
DPFLB11,1,239.67909017919993
DPGRT01,2,415.59597880348963
DPGRT02,3,823.18757878567
DPGRT03,0,534.9182548495946
DPGRT04,0,543.155841182888
DPGRT05,3,635.006025433783
DPHKM01,3,605.9977788799449
DPHKM04,1,462.0408009096218
DPHKM05,1,303.9293869404371
DPHKM06,1,199.39359790230168
DPHKM07,1,166.66809374402942
DPKHN01,0,407.62481929179035
DPKHN02,1,441.227671489839
DPKHN05,0,532.9963816579688
DPKHN06,1,164.45659795786347
DPKHR01,3,370.82170887269973
DPKHR03,3,652.8373727332286
DPKHR05,3,768.0514192332095
DPKHR06,0,500.9271717684288
DPKHR07,3,676.5485058289049
DPKHR08,0,512.5159890026761
DPKHR09,3,765.340461738038
DPNWG01,3,862.5234168322751
DPNWG03,0,546.8008673339149
DPNWG04,1,298.1910553696475
DPNWG05,0,600.1182983461608
DPNWG06,1,631.1865695228257
DPNWG08,0,469.1132172966522
DPNWG09,0,1025.0897021484777
DPNWG10,3,576.5359528408034
DPPBT01,3,763.1482057805956
DPPBT02,1,439.7464397797122
DPPBT03,2,3913.056947457251
DPPBT05,0,555.2424390562845
DPPBT07,0,729.89231448951
DPPBT09,1,260.81248664042306
DPPBT11,1,281.4618052953329
DPPBT12,1,179.89116339813984
DPPBT13,1,299.5656345799429
DPPBT17,0,708.4597734634742
DPPBT18,0,729.0090151666374
DPPBT20,1,182.84116512971414
DPSDR01,3,1060.8310431815326
DPSDR02,0,497.4502277242417
DPSDR03,3,652.6867662918606
DPSDR04,2,477.8929796008312
DPSDR06,2,735.7929831294845
DPSDR07,0,464.1258029410502
DPSDR08,0,905.5459984991556
DPSDR10,1,130.36814972401226
DPSDR16,0,945.1083481115364
DPSDR17,3,711.2322295928867
DPSDR18,1,268.09011781618005
DPSDR19,0,557.4269260091454
DPSDR20,1,433.356093776295
DPSDR21,0,687.128713580465
DPSDR22,0,709.1403339724158
DPSDR26,1,564.3344487281353
DPSDR27,0,1632.1776577152468
DPSDR28,3,1162.4252734385584
DPSDR29,1,316.52907444394714
DPSDR30,3,794.9463875626659
DPSDR32,1,307.94116882636547
DPSDR33,2,1002.9776231311259
DPSDR34,0,728.8588466632508
DPSDR36,0,474.43960659526374
DPSDR37,1,780.8241749854282
DPSDR39,1,517.5803094874545
DPSDR41,0,861.3270070514225
GBFLC01,0,667.5093046156361
GBFLC02,1,359.4544540906385
